DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,9,77.0,1.0,38.5,0.0,0.0,2.0,77.0,77.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,10,77.0,1.0,38.5,0.0,0.0,2.0,77.0,77.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,11,77.0,1.0,38.5,0.0,0.0,2.0,77.0,77.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,12,77.0,1.0,38.5,0.0,0.0,2.0,77.0,77.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,13,77.0,1.0,38.5,0.0,0.0,2.0,77.0,77.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,14,77.0,1.0,38.5,0.0,0.0,2.0,77.0,77.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,15,77.0,1.0,38.5,0.0,0.0,2.0,77.0,77.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,16,77.0,1.0,38.5,0.0,0.0,2.0,77.0,77.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,17,77.0,1.0,38.5,0.0,0.0,2.0,77.0,77.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,18,77.0,1.0,38.5,0.0,0.0,2.0,77.0,77.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,19,77.0,1.0,77.0,0.0,0.0,3.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,20,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,21,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,22,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,23,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,24,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,25,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,26,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,27,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,28,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,29,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,30,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,31,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,32,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,33,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,34,72.0,1.0,11.5,0.0,0.0,5.0,72.0,11.0,60.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,35,72.0,1.0,11.5,0.0,0.0,6.0,72.0,11.0,60.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,36,72.0,1.0,11.5,0.0,0.0,6.0,72.0,11.0,60.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,37,72.0,1.0,11.5,0.0,0.0,6.0,72.0,11.0,60.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,38,72.0,1.0,11.5,0.0,0.0,6.0,72.0,11.0,60.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,39,72.0,1.0,11.5,0.0,0.0,6.0,72.0,11.0,60.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,40,72.0,1.0,11.5,0.0,0.0,6.0,72.0,11.0,60.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,41,72.0,1.0,11.5,0.0,0.0,6.0,72.0,11.0,60.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,42,72.0,1.0,11.5,0.0,0.0,6.0,72.0,11.0,60.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,43,72.0,1.0,42.0,0.0,0.0,6.0,72.0,72.0,30.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,44,72.0,1.0,42.0,0.0,0.0,6.0,72.0,72.0,30.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,45,72.0,1.0,42.0,0.0,0.0,6.0,72.0,72.0,30.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,46,72.0,1.0,42.0,0.0,0.0,6.0,72.0,72.0,30.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,47,72.0,1.0,42.0,0.0,0.0,6.0,72.0,72.0,30.0
