DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,43,3039.0,1.0,3039.0,0.0,0.0,11524.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,44,3039.0,1.0,3039.0,0.0,0.0,11672.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,45,3039.0,1.0,3039.0,0.0,0.0,11889.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,46,3039.0,1.0,3039.0,0.0,0.0,12240.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,47,3039.0,1.0,3039.0,0.0,0.0,12497.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,48,3039.0,1.0,3039.0,0.0,0.0,13124.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,49,3039.0,1.0,3039.0,0.0,0.0,12987.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,1,6731.0,0.0,0.0,0.0,0.0,122.0,214.0,0.0,6731.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,2,5370.0,1.0,5746.5,0.0,0.0,438.0,174.0,214.0,376.5
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,3,4637.0,1.0,4504.0,0.0,0.0,706.0,193.0,122.0,133.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,4,4052.0,1.0,4002.0,0.0,0.0,1028.0,164.0,183.0,50.0
